timestamp,unfi-busd,iota-usd,bhp-usdt,dot-usdt,aave-usdt,nmc-usdt,mx-usdt,dht-usdt,crv-usd,pha-usdt,storj-usd,sxp-busd,hnt-usdt,hegic-usdt,fund-usdt,sushi-usd,xtz-busd,link-usdt,bnb-usdc,tncc-usdt,plu-usd,wxt-usdt,fti-usdt,usdx-usdt,bel-usdt,lto-usdt,sushi-usdt,zec-usdt,doge-usdt,winx-usdt,win-usdt,tusd-usdc,bch-usdt,xmr-usdt,steem-usdt,uni-usdt,eth-usdc,ltc-usdc,etc-usdt,btc-usdc,ltc-usdt,jst-usdt,xrp-usdt,trx-usdt,snx-usdt,atom-usdt,dash-usdt,matic-usdt,mana-busd,node-usdt,srm-usdt,xtz-usdt,crv-usdt,xlm-usdt,btc-busd,sol-usdt,eos-usd,eos-usdt,sc-usdt,wbtc-usdt,busd-usdt,xem-usdt,senso-usdt,avax-usdt,bnb-usdt,pol-usdt,usdc-usdt,dai-usdt,yfi-usdt,weth-usdt,btc-usdt,hex-usdt,strong-usdt,sand-usdt,pols-usdt,cel-usdt,kp3r-usdt,bal-usdt,albt-usdt,gala-usdt,api3-usdt,1inch-usdt,comp-usdt,ersdl-usdt,xor-usdt,ren-usdt,bid-usdt,mkr-usdt,prq-usdt,mta-usdt
2021-01-01,5.562509483722863,0.2945520797882478,0.6644,8.798803964285735,87.59,0.43979,0.1436,0.8593095847244847,0.637,0.118509,0.29683,0.7248,1.3901114641501564,0.1406,0.0084215573575377,2.9711294146460725,2.0518,11.80736976883269,38.4462,0.0741,4.821285558853879,0.00885,0.000109,0.1148,0.8981,0.1306323353093715,3.0020815384767823,64.19537839808459,0.0049654795989654,5.972e-05,6.031e-05,1.0006199218225298,346.3052053332965,156.55268623984952,0.1593,4.949157701819807,735.03,127.42,5.7296329295577895,29289.110478709867,127.43038708026586,0.0226896833655036,0.2351453168410857,0.0269469543413106,7.863504692440197,5.999719653091841,98.05513434026176,0.01792,0.0812883286651515,0.0002009999999999,1.0738,2.05,0.6335216695311208,0.1330602760889691,29285.973244815104,1.6429,2.636,2.6279329488767926,0.003296,29223.6,0.9979,0.224,0.300735,3.6156,37.76059821756734,0.01552,0.9979,1.0029,22259.360898518666,736.2474290756195,29228.558723091184,0.012715492386786674,24.59803634846213,0.03530319292041398,0.6911274416069639,5.483401344495216,240.50775652877968,14.049673597758682,0.2823443265208946,0.001184764595053867,1.8018487450756533,1.1675453142299541,144.66865928921595,0.008364996123793161,102.52565217373767,0.32797919596583924,0.013621932220734576,589.9147911236132,0.5279615339551814,0.9090493830927926
2021-01-02,5.22106746909435,0.2869925205149547,0.6673417906617423,8.760200701584457,85.93775089662964,0.4591366648674448,0.1452,0.9929,0.5925335848857536,0.11704,0.2924886422742593,0.7271,1.332,0.1329384368452681,0.0087667155644298,3.1754,2.0072,11.795842678735148,37.8181,0.0843814164339239,5.09504907720128,0.00877,0.000112,0.1162,0.8733,0.12358,3.184169072071838,57.8734064572908,0.0075961512463421,5.953e-05,5.957e-05,0.9998935174434794,351.09176846659363,136.47554581857327,0.165,4.745641950820975,766.76,130.85,5.738133962904865,31391.444956246727,130.01878189823992,0.023251284350085,0.2275699291958848,0.0269199999999999,8.278,5.557244467475471,88.04127937332527,0.01854,0.0793923117405262,0.000204,1.086,2.0049123190309124,0.59,0.1299417372039137,31212.12069195244,1.8010000000000002,2.621,2.616598730243024,0.004402,30903.834091504425,0.9981,0.2082,0.3005507943719183,3.55,37.77142291615818,0.0148,0.9982,1.0004001600640255,21787.32872256235,757.920976304411,31130.8917974361,0.011291510426843556,25.21587869906585,0.04010172405701031,0.7810837275616983,5.779132188785934,214.19217188447763,14.34541692077438,0.29290343188114937,0.0011508210017146007,1.8348214878504785,1.0908713187369554,140.00016774385637,0.008286503100256307,98.93151281863234,0.3125947008069563,0.013082675094146581,597.4943499583233,0.4607910031996325,1.0116241657376601
2021-01-03,6.482085944488373,0.2983166369119359,0.6676,9.279673316695092,87.96837524713808,0.507415,0.1388,0.959,0.621,0.115557,0.308,0.7657,1.302,0.1576891478142241,0.008447763463897,3.301727137752137,2.10980692596274,12.713247252492408,40.30904957174439,0.0797017185768989,5.6831,0.008687,0.000111,0.1165,0.8472,0.1313220875414051,3.24098321543488,58.07024972803059,0.0113237832284298,6.366e-05,6.373e-05,1.005173673419671,391.7642057543313,138.41568953755595,0.1586,5.103375021313486,922.280387018647,150.35,6.31341050754682,33614.532711406035,150.73625055216465,0.0236044772013878,0.2217654817387718,0.0279570435896955,8.7215707839419,5.591220781902086,88.56210451754605,0.01955,0.0796505356705116,0.000203,1.115,2.1028,0.6179999999999999,0.1319335302241584,33678.34934770875,2.0756298131295816,2.7489,2.7167250384782435,0.00525,33651.68882933486,0.999,0.1999,0.301954315238962,3.6212,40.10375224591023,0.01468,0.999,1.0004001600640255,21541.822616519024,891.8610323309646,33599.49307594517,0.011827064604119999,30.62458772845975,0.042082329497257855,0.8853245608216398,6.54422974497051,252.6942126405066,15.371834510342355,0.29999354460967476,0.0011818141907199806,1.889542474024202,1.084319687571436,145.59157049809048,0.009397060284335,101.38813898376155,0.3257565022641869,0.014231441733068262,672.1981747925976,0.5076482023491596,1.1601677549428862
2021-01-04,5.85134060780493,0.3178,0.66,9.46504392440126,102.33618215399476,0.5212608153320839,0.1384,1.0572476724734456,0.672,0.114,0.3004364963675763,0.7526,1.3501394512670584,0.1849,0.0092976738260968,3.6091,2.19354826783294,13.631583843880977,40.5559,0.075901,6.809933053959979,0.0085,0.000109,0.1187,0.879927902686046,0.1647023057187522,3.592508737523908,59.75958268886898,0.0096373862715811,6.693503783609603e-05,6.721e-05,1.0002700044395367,407.0678234393063,136.15593309145777,0.1564,5.405089152680732,1012.119096559638,154.9,6.867162795687479,31588.147093579144,154.62167986136697,0.0235,0.2312192104381878,0.0297639535088905,9.95342754787275,5.826710917854578,88.88792156472104,0.0218,0.0797509279495415,0.000205,1.1752,2.187,0.6466542946075476,0.1479885625691104,31376.638072706766,2.240538911537448,2.8726410615731623,2.8026287729977555,0.0043331986573389,31639.23145444013,0.9992,0.2028309882887346,0.3012263582732004,3.4999,40.06884194713541,0.0147,0.9991879698483914,1.0007004903432404,23577.255210968287,1010.768505139491,31615.23979944968,0.012814699400379315,33.207071015278146,0.04191634248608513,0.8824905165997731,6.043486950394949,283.6810358023032,15.618961177460285,0.3464866153003831,0.001309800016871278,2.175675435962317,1.0761380621658574,145.5628393759087,0.01211758226494605,110.57661796211187,0.32947131155751763,0.013832886314350135,678.4226797270998,0.45123167616002197,1.1659471318602854
2021-01-05,5.7517,0.3548071532464536,0.6526,9.612824237529118,114.077356442519,0.51071,0.1376,1.1715230364951317,0.68,0.1157721565462651,0.3049840920416957,0.7463,1.402,0.2282001971574458,0.0093221160483787,3.6282,2.3432,14.200185498796394,40.4163,0.07715,6.757387871863371,0.008608,0.000111,0.1307,0.9306,0.18711,3.5455463266797898,59.35395081915313,0.0095446281830874,6.635632755226899e-05,6.686e-05,0.9995168788435548,409.41365698952177,132.86953053049805,0.1584,5.779327586514476,1059.7673615753235,155.48121826765498,7.01596933793774,32245.55382227828,154.46029779553282,0.0229995646328058,0.2287069944494,0.0282074718815727,11.927540055930049,6.059457519955325,88.67499447479932,0.02474,0.08092,0.000215,1.4174,2.338528237208962,0.6762761556171362,0.1736826450867843,32044.4440610874,2.2408135686005863,2.8457,2.8391527825616376,0.004102,32237.802160274725,0.9989734329272966,0.2023995266617738,0.301116,4.081,40.266138743508,0.01496,0.9989328257967725,1.0002000400080016,23420.056193206983,1053.490088429493,32103.032876687128,0.01261274499574802,31.726921051501957,0.0441646957837989,0.9272165611546858,5.882305818824026,277.01610367987485,16.36858075824467,0.3325906006643275,0.001524554851404742,2.388762816345983,1.1419672624334825,155.22530766842317,0.01246894020709761,115.36511930307714,0.3358104779906335,0.01286493607920716,705.739433178533,0.6088388545034543,1.1991859672536853
2021-01-06,6.3041,0.37986,0.6640287454633493,9.873108112258262,115.1515666562638,0.532237,0.1385,1.2506,0.739,0.1224224250707161,0.3362830407155348,0.7942,1.499,0.2587,0.0078501689427102,3.835,2.57,15.763713263446904,41.4873,0.078189,6.751617372230045,0.00855,0.000112,0.1342,0.9768,0.18699,3.852688413112881,61.57366961619944,0.0101796988215487,6.983663695913636e-05,6.948e-05,0.999913046391456,432.56095560603,136.69888089819673,0.1728,6.242315003186232,1143.0215655069242,163.3,7.408168753399506,34916.541973661195,162.8187389634407,0.023653808104893,0.230983601163754,0.029638415800327,12.474024837766349,6.385712588303835,92.11939203306656,0.0289,0.08914,0.000219,1.48,2.548055532107397,0.7304200242307266,0.2977983326221016,34940.98,2.037275503146684,3.238,3.187370261915338,0.0044,34834.92423619465,0.9972328266550968,0.2436113665181352,0.300658,4.5862,41.37810976033311,0.0151233461532774,0.9974730584975638,1.0,23868.025840176408,1133.389200979971,34799.70540721676,0.01251840814969276,31.07206335828701,0.042987849205043775,0.8753671491368135,5.873074106939377,325.0403803180763,17.39240204883608,0.30547401698777843,0.0014557360122740212,2.4442428286452498,1.324690461390524,170.40731838918913,0.012932649955758883,123.75910562264218,0.35624948419245883,0.011885129354722475,993.411989361027,0.5767729541478752,1.2613856856722396
2021-01-07,6.3561,0.3844088323406606,0.668,9.93638797168679,118.03622182365407,0.597198,0.1388,1.208746485431112,0.7306446942333188,0.1349991039760877,0.363294381496027,0.8624106406253595,1.441,0.2936125826150411,0.0076416042341174,3.860165937247495,2.6342,16.57336198913503,43.54561958978553,0.07890159169226,6.720020142167208,0.00846,0.000122,0.1479,1.0042,0.1895028063584861,3.857061016219781,68.22286422521907,0.0100492476835922,7.605e-05,7.59e-05,1.00387750774971,452.10449268564855,145.12503950448172,0.1871,6.279911726704411,1218.3227473749948,170.0,7.408540640122006,38056.53003626436,169.17053129607586,0.0248871593670108,0.3140819933851242,0.0315332501815181,12.11670694,6.591480013874673,100.06520421713633,0.0345769593588758,0.112071921346704,0.000231,1.4571523967616986,2.621294279924342,0.7303136813070412,0.3446022398096121,38196.490417420944,2.291368276814917,3.287503649257846,3.3079704290759304,0.004939,37841.27757811736,0.9986525060994924,0.2555353494618983,0.3013125098420405,4.574837790742737,43.34422815760544,0.01506,0.99849934528801,1.0,32225.363185879345,1211.0743372047546,37884.34824913851,0.012314137392020986,28.74098957755668,0.04530112343338548,0.8606808473826313,5.8335108662443425,371.0728133892261,18.13709400028683,0.3020136451639697,0.0013896853654240431,2.3788229172664264,1.4684315323109942,177.5384230994394,0.011877318111399976,121.88273207910485,0.4067020066799965,0.011675308950293417,1076.7532765932287,0.5141234286855151,1.5569613118295649
2021-01-08,6.8778,0.362914731922889,0.656,9.298551021890024,110.41165864061512,0.711997,0.1383,1.2215359151576577,0.6946,0.1184042787588493,0.3718395279359539,0.9195,1.396,0.2617001547130994,0.0078254317948069,4.0910244254997625,2.3914,15.35090158253481,42.34875248972129,0.0796463726115088,5.381128088701489,0.00851,0.000126,0.1375,0.9701,0.2115,4.099590551932373,67.1261807771004,0.0094936758350654,7.55e-05,7.458e-05,0.9997126382121844,434.2757399044708,143.85092891665795,0.1794,5.986708155817102,1196.2524688509177,170.0,6.930160587181385,39911.30800809934,169.00907912813452,0.0265781348343856,0.3140152238867162,0.0301098861152495,11.70801526096976,6.020847050281687,96.60890722148352,0.0319039145315708,0.13182,0.000227,1.5841469870036131,2.4118570493293654,0.6919316830092683,0.2977094659545044,40147.12813963679,3.1456427686105446,3.0719,3.0917322660875484,0.004893,39533.40257880532,0.9991409446028984,0.2332183745113082,0.3022203491179274,5.2103,42.32117113144449,0.01494,0.999235996731426,1.0,33459.88476409545,1191.2197506627997,39814.825322872406,0.012789496134035416,22.823264257382647,0.04490150361080322,0.9145849325100034,5.418546264614523,327.84294668506806,17.67755376631705,0.30326845773546607,0.0014252402420465932,2.2999626273741067,1.244792455993814,165.59685737286944,0.01082511155779318,114.76706733248164,0.37938529127155324,0.011611702400442365,1052.2557418018657,0.47473272732305904,1.3119281035352912
2021-01-09,6.963742436753218,0.43266,0.653,9.364599736296814,113.356246896684,0.724239,0.1444,1.191,0.759,0.108135,0.4027326225663458,1.04,1.537,0.2668492769605344,0.0076241160426072,4.663264137828708,2.557686736881303,16.019606501914627,43.0113,0.0809788157018726,5.4145055352353255,0.0086,0.000132,0.143,1.07,0.228970900480828,4.632603860290056,71.68581647434594,0.0101699984757206,8.650307999561351e-05,8.6e-05,1.000001676919342,456.5415937247469,144.64625717283002,0.1911,6.088645091434518,1223.0272045857373,171.03,7.197037611729282,40458.32878051857,170.46171185067735,0.0275846022511011,0.3206549451804237,0.0330122451740502,11.955900417571954,6.433578106539066,102.04454378356054,0.0317650089698102,0.1154312432621092,0.000236,1.6155571221942555,2.5606607414418097,0.7473406000364868,0.2976227821183402,40339.70896043882,3.216579666197431,3.5637,3.452039978459312,0.005053,40321.41579981036,0.9986657631944048,0.2313997929286659,0.30242068,6.621233908564637,42.750397503899904,0.01531,0.99872519515824,1.0002,37631.04252265351,1219.2612175657327,40381.67224281073,0.01178856833580455,23.423365024631448,0.04520172490494406,0.905519619844688,5.402317770077667,337.70654298066023,18.982377833650265,0.333805467714854,0.0010802919746086897,2.252645491534639,1.1986340023550845,172.85703868258787,0.010815024079652956,113.09525976090934,0.4273630168190291,0.011111613875786077,1401.7631128378775,0.505323102632288,1.4525375387906676
2021-01-10,6.704642334237018,0.4265163333479418,0.6518,9.48881800317604,124.49155696301496,0.7251821413854531,0.1539,1.1972,0.785,0.1113498026303217,0.433,1.0223,1.454,0.258,0.0074301435728524,4.4555,2.7,17.1664117360188,43.1088112588301,0.0729993905088063,6.4745,0.008747,0.000132,0.1485164572763171,1.0428,0.2145738357432277,4.528476443328831,87.82782308210939,0.0102036276091427,8.73542340859729e-05,8.521193327114634e-05,1.0023676163379889,593.0194970092057,162.35754677384222,0.2118,6.126581343001071,1296.6467600448773,174.59473329630237,8.675539653153539,39521.22473979782,175.09338457844507,0.0274875674297931,0.330238702250222,0.0335983628165113,13.603222379928908,6.600004386783942,142.72130220611683,0.0318484355767014,0.11152,0.00026,1.710388884851831,2.6963281661726755,0.7809889223514705,0.297968646659997,39162.42102639398,3.4083876189711138,3.285875693289708,3.449831361178385,0.005044,39772.549069266766,0.9982634722427848,0.2394172863533857,0.3001660808030998,6.813019734892416,43.42026254939745,0.01541,0.9986,1.0,35538.878603874735,1291.4579565008426,39630.392607575486,0.01167018561734527,19.610141460401536,0.0454003667651282,1.00392665022804,5.140139200235599,306.1121395951984,19.99272158675219,0.42553451140268944,0.001335221983913629,2.17614970742455,1.2636773949731053,192.67094712182413,0.010073017224866525,115.59981819409239,0.4181804189390273,0.011115651656640366,1708.9329583629712,0.5164883874078986,1.4165396145323936
