date;price
05/03/2015;498,4193516
06/03/2015;491,9397335
07/03/2015;496,2105792
08/03/2015;493,8288093
09/03/2015;519,021858
10/03/2015;517,8795216
11/03/2015;527,209257
12/03/2015;524,7979569
13/03/2015;515,6742767
14/03/2015;507,0598895
15/03/2015;512,2627461
16/03/2015;520,7797618
17/03/2015;511,1818999
18/03/2015;462,5387724
19/03/2015;469,691227
20/03/2015;471,1443887
21/03/2015;468,2508085
22/03/2015;481,942197
23/03/2015;479,466817
24/03/2015;443,300883
25/03/2015;442,6246006
26/03/2015;443,3302905
27/03/2015;443,2128512
28/03/2015;451,1114586
29/03/2015;434,3003512
30/03/2015;441,7096883
31/03/2015;435,9645292
01/04/2015;437,0940488
02/04/2015;447,5413901
03/04/2015;452,5780392
04/04/2015;452,4210414
05/04/2015;462,275882
06/04/2015;455,4570504
07/04/2015;452,6231327
08/04/2015;438,4003866
09/04/2015;435,2477173
10/04/2015;419,1259337
11/04/2015;422,0594037
12/04/2015;421,6472976
13/04/2015;400,8900332
14/04/2015;390,6881186
15/04/2015;398,0584298
16/04/2015;406,8403082
17/04/2015;397,5428806
18/04/2015;397,7921309
19/04/2015;396,9229963
20/04/2015;400,0503434
21/04/2015;417,3243734
22/04/2015;416,3200125
23/04/2015;418,7714062
24/04/2015;411,8192434
25/04/2015;403,469886
26/04/2015;389,8390302
27/04/2015;406,4563669
28/04/2015;400,9325092
29/04/2015;402,2887548
30/04/2015;419,7282765
01/05/2015;413,8612544
02/05/2015;417,8229198
03/05/2015;425,2087923
04/05/2015;423,6239985
05/05/2015;418,2944711
06/05/2015;407,9790417
07/05/2015;418,2639912
08/05/2015;429,5643759
09/05/2015;426,0419919
10/05/2015;421,9578146
11/05/2015;425,7169228
12/05/2015;425,2141411
13/05/2015;414,2606235
14/05/2015;415,4320572
15/05/2015;416,2796263
16/05/2015;414,768021
17/05/2015;413,4259142
18/05/2015;405,4536712
19/05/2015;408,1021469
20/05/2015;412,2083623
21/05/2015;414,2958956
22/05/2015;424,0628142
23/05/2015;421,7362283
24/05/2015;425,5902457
25/05/2015;419,6492565
26/05/2015;419,4687025
27/05/2015;419,8101286
28/05/2015;424,1202214
29/05/2015;427,7956212
30/05/2015;418,8472933
31/05/2015;412,1759782
01/06/2015;399,1722862
02/06/2015;404,1700529
03/06/2015;404,104152
04/06/2015;401,6024913
05/06/2015;403,4990589
06/06/2015;403,9239004
07/06/2015;400,7862357
08/06/2015;410,0379202
09/06/2015;411,3156762
10/06/2015;410,4231949
11/06/2015;411,7944691
12/06/2015;412,5752424
